"","groupe","souche","condition","mean_area","nb_colonies","norm_mean_area","norm_nb_colonies","y","x","var"
"1","Aa","10","cpt 15",1.09393333333333,15,0.361887208569628,2.14285714285714,1,1,"15"
"4","Aa","12","cpt 15",1.668,10,0.339231238560098,3.33333333333333,1,2,"15"
"7","Aa","13","cpt 15",1.145,10,0.449725058915947,2,1,3,"15"
"10","Aa","14","cpt 15",1.53266666666667,9,0.337549291047907,1.28571428571429,1,4,"15"
"13","Aa","15","cpt 15",2.11242857142857,7,0.503873954841485,0.875,1,5,"15"
"16","Aa","17b","cpt 15",1.5715,16,0.315065649436446,2.66666666666667,2,1,"15"
"19","Aa","17c","cpt 15",2.667,2,0.476897217652528,0.4,2,2,"15"
"22","Aa","18","cpt 15",0,0,0,0,2,3,"15"
"25","Aa","19","cpt 15",4.30925,4,1.45685602649773,0.8,2,4,"15"
"28","Aa","20","cpt 15",0.55525,8,0.357413091904311,1.14285714285714,2,5,"15"
"31","Aa","21","cpt 15",2.03377777777778,9,1.22121068695189,1.28571428571429,2,6,"15"
"34","Aa","22","cpt 15",0.086,2,0.0117724360729343,0.4,2,7,"15"
"37","Aa","23","cpt 15",2.808875,8,0.563940531641503,1.6,3,1,"15"
"40","Aa","24","cpt 15",2.71066666666667,3,0.533008232394735,0.6,3,2,"15"
"43","Aa","25","cpt 15",0,0,0,0,3,3,"15"
"16.1",NA,NA,NA,1,1,1,1,3,4,"15"
